Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Bahamas, The;BHS;66000000;85000000;69000000;79000000;100000000;104860000;139160000;162680000;176400000;295959000;337426000;511000000;485000000;764000000;1908000000;2697000000;3125000000;3568000000;3150000000;3514000000;5519000000;3068000000;3428000000;2723000000;2260000000;1212000000;1193000000;1064000000;888000000;1516000000;1738000000;1806000000;1038000000;954000000;1056000000;1243000000;1366000000;1666000000;1873000000;1757000000;2074000000;1912000000;1728000000;1762000000;1905000000;2311600000;2727300000;2956300000;3199000000;2535300000;2590600000;2850000000;
Bahrain;BHR;180000000;186000000;201000000;186000000;180000000;168000000;175980000;206010000;193032000;208824000;247170000;311923000;376427000;512227000;1127320000;1189380000;1667810000;2028810000;2045100000;2479840000;3483000000;4124000000;3614000000;3342000000;3480000000;3107000000;2405000000;2714000000;2593000000;3134000000;3712000000;4115000000;4263000000;3858000000;3747000000;3716000000;4273000000;4026000000;3566000000;3698000000;4633000000;4306000000;5013000000;5657181000;7384562000;9393069000;10515160000;11488000000;10800000000;7500000000;9800000000;11000000000;
Bangladesh;BGD;;;;;;;;;;;;;682708000;986390000;1078420000;1321250000;952146000;1163120000;1512600000;1908360000;2599000000;2699000000;2464000000;2165000000;2825000000;2542000000;2546000000;2715000000;3041000000;3650000000;3618000000;3412000000;3732000000;3994000000;4602000000;6694000000;7032000000;7263000000;7495000000;8331000000;8883000000;9018000000;8592000000;10434000000;12036000000;13889000000;16034000000;18596000000;23860000000;21833000000;27818800000;36234200000;
Barbados;BRB;48591000;46819400;51973100;57674600;63509100;67821100;76481200;77171000;84012500;97295500;117502000;123577000;140730000;167628000;203954000;216523000;237033000;272555000;314349000;425376000;524000000;571000000;551000000;616000000;657000000;607000000;587000000;515000000;582000000;673000000;704000000;699000000;524000000;577000000;615000000;771000000;833000000;996000000;1010000000;1108000000;1156000000;1087000000;1039000000;1195000000;1412950000;1604450000;1697361000;1746179000;1920188000;1449426000;1569415000;1840000000;
Belarus;BLR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3066000000;5564000000;6939000000;8689000000;8549000000;6674000000;8646000000;8286000000;9092300000;11558000000;16490800000;16708000000;22351000000;28693100000;39381300000;28569000000;34884400000;45747100000;
Belgium;BEL;3970000000;4224000000;4568000000;5128000000;5930000000;6502000000;7182000000;7286000000;8396000000;10022000000;11412000000;12900000000;15490000000;22075000000;29880000000;30781000000;35545000000;40406000000;48609000000;60913000000;71860000000;62426000000;58227000000;55313000000;55459000000;56182000000;68603000000;83233000000;92436000000;98473000000;1.19702E+11;1.20182E+11;1.25047E+11;1.18021E+11;1.33127E+11;1.64934E+11;1.67914E+11;1.6193E+11;1.68995E+11;1.6481E+11;1.77511E+11;1.78664E+11;1.98311E+11;2.34945E+11;2.85621E+11;3.187E+11;3.51635E+11;4.11558E+11;4.66307E+11;3.53364E+11;3.93275E+11;4.60762E+11;
Belize;BLZ;13146000;15897000;21840000;19285000;21903000;24493000;27132000;25510700;26519900;29609900;33366500;35645600;43243400;44297000;63814500;88065900;72566800;90075500;106496000;131840000;150000000;162000000;128000000;112000000;130000000;128000000;122000000;143000000;181000000;216000000;211000000;256000000;274000000;280000000;259000000;257000000;255000000;286000000;295000000;370000000;524000000;517000000;525000000;551664000;519685000;592940000;660343000;684360000;837120000;668643000;709276000;900000000;
Benin;BEN;30949600;25399700;26858100;33420700;31111600;34433400;33461200;48409400;49503100;54718100;63591600;76612600;91658500;111889000;146902000;188170000;218994000;267784000;311080000;320137000;331000000;543000000;464000000;318000000;288000000;331000000;387000000;349000000;568000000;421000000;265000000;241000000;578110000;571330000;431100000;745670000;654280000;681000000;736000000;749000000;613000000;623000000;724785000;891795000;893775000;1018000000;1228000000;2037000000;2289374000;2064237000;2160000000;2700000000;
Bermuda;BMU;;;;;;;;;;;;;;;;;;;;;312000000;323000000;351000000;378000000;414000000;403000000;440000000;420000000;488000000;535000000;595000000;510000000;562000000;534000000;551000000;550000000;569000000;619000000;629000000;712000000;720000000;720000000;747000000;833000000;988000000;985000000;1094000000;1167000000;1160000000;1067000000;988000000;930000000;
Bhutan;BTN;;;;;;;;;;;;;;;;;;;;;50000000;68000000;68000000;72000000;73000000;84000000;93000000;87000000;127000000;90000000;81000000;83000000;125000000;90000000;92000000;112000000;128000000;137000000;134000000;182000000;175200000;191000000;196541000;248984000;411000000;386292000;419626000;525906000;543271000;529408000;853804000;950000000;
