Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Bahamas, The;BHS;6000000;8000000;9000000;;16000000;18620000;22540000;31359900;50959900;52919900;89847200;267000000;343000000;530000000;1444000000;2508000000;2992000000;3261000000;3058000000;3786000000;2983000000;1972000000;1613000000;2078000000;1554000000;862000000;605000000;712000000;761000000;946000000;1050000000;1517000000;192000000;162000000;167000000;176000000;180000000;181000000;300000000;462000000;576000000;423000000;446000000;425000000;477000000;549000000;694200000;801900000;955800000;710700000;702400000;760000000;
Bahrain;BHR;190000000;198000000;211500000;205700000;175800000;164600000;187320000;210840000;211050000;225960000;217686000;264935000;347471000;480515000;1271800000;1202910000;1516220000;1845320000;1893120000;2487630000;3594000000;4347000000;3789000000;3199000000;3204000000;2897000000;2200000000;2430000000;2411000000;2831000000;3761000000;3513000000;3465000000;3726000000;3616000000;4112000000;4700000000;4384000000;3270000000;4363000000;6195000000;5577000000;5794000000;6631649000;7557966000;10242004000;12200000000;13634000000;17316000000;11873650000;14971251444;18500000000;
Bangladesh;BGD;;;;;;;;;;;;;260330000;357726000;347907000;327235000;400774000;475687000;548465000;658682000;759000000;791000000;769000000;724000000;931000000;999000000;880000000;1067000000;1291000000;1305000000;1671000000;1689000000;2098000000;2545000000;2934000000;3501000000;4249000000;4832000000;5121000000;5497000000;6389000000;6080000000;6149000000;6990000000;8305000000;9297000000;11802240000;12453200000;15369600000;15082820000;19194400000;24435500000;
Barbados;BRB;23864700;25230900;29329300;40667600;35173200;37490700;40809900;41496200;40116000;37127500;39573000;40552300;44489200;53504900;86034100;107317000;86253000;96502000;130584000;151967000;226000000;195000000;257000000;321000000;390000000;352000000;275000000;154000000;173000000;186000000;216000000;207000000;191000000;187000000;182000000;239000000;281000000;283000000;252000000;264000000;272000000;259000000;241500000;249750000;278250000;359450000;509733000;523823000;487795000;378522000;428983000;470000000;
Belarus;BLR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2510000000;4803000000;5652000000;7301000000;7070000000;5909000000;7326000000;7451000000;8020900000;9945600000;13773700000;15979000000;19734000000;24275300000;32570800000;21304200000;25283500000;40409200000;
Belgium;BEL;3792000000;3930000000;4332000000;4840000000;5600000000;6394000000;6832000000;7082000000;8172000000;10090000000;11600000000;12726000000;16152000000;22455000000;28334000000;28804000000;32889000000;37538000000;44947000000;56700000000;64540000000;55688000000;52356000000;51939000000;51893000000;53739000000;68818000000;83098000000;92135000000;1.00012E+11;1.17703E+11;1.18199E+11;1.23132E+11;1.2758E+11;1.47107E+11;1.78265E+11;1.77337E+11;1.74531E+11;1.8191E+11;1.79152E+11;1.88371E+11;1.90349E+11;2.16127E+11;2.55617E+11;3.06866E+11;3.344E+11;3.66745E+11;4.30952E+11;4.7184E+11;3.70125E+11;4.08745E+11;4.76272E+11;
Belize;BLZ;7871510;8681410;8666710;13000400;13435100;12224100;13467300;14132700;15116400;16848000;18800400;19278100;25529500;32269600;44924200;66589700;42252800;62082000;79782500;86731000;111000000;119000000;91000000;78000000;117000000;115000000;111000000;103000000;116000000;125000000;133000000;122000000;141000000;136000000;151000000;162000000;168000000;176000000;172000000;186000000;218000000;169000000;169000000;205000000;213000000;207520000;274429000;266634000;310000000;260000000;300000000;350000000;
Benin;BEN;18270000;14502600;10937700;12760600;13165700;13611300;10451600;15272200;22361500;27152500;32631200;42078000;36445500;43498400;34398600;31840700;24982300;30996500;27209600;45942700;63000000;34000000;24000000;67000000;167000000;199000000;188000000;260000000;226000000;218000000;288000000;330000000;335000000;384000000;398000000;420000000;528000000;424000000;407000000;422000000;392000000;374000000;448000000;541000000;568568000;578234000;736000000;1046859000;1282255000;1224729238;1390000000;1800000000;
Bermuda;BMU;;;;;;;;;;;;;;;;;;;;;37000000;29000000;17000000;23000000;41000000;23000000;65000000;29000000;31000000;50000000;60000000;55000000;85000000;35000000;32000000;56000000;68000000;57000000;45000000;51000000;51000000;36000000;56000000;52000000;73000000;49000000;27000000;27034000;24000000;29000000;15000000;15000000;
Bhutan;BTN;;;;;;;;;;;;;;;;;;;;;17000000;20000000;17000000;16000000;18000000;22000000;34000000;55000000;75000000;70000000;70000000;63000000;66000000;65000000;66000000;103000000;100000000;118000000;108000000;116000000;103000000;106000000;112704000;132882000;183000000;258200000;414327000;674524000;521415000;495846000;641309501.4;620000000;
Bolivia;BOL;53000000;58000000;60000000;67000000;96000000;110000000;127400000;149900000;152100000;172300000;190200000;181100000;201200000;260500000;556500000;444100000;568200000;631700000;628800000;759800000;942000000;912000000;828000000;755000000;725000000;623000000;638000000;570000000;600000000;822000000;926000000;849000000;710000000;728000000;1032000000;1100000000;1137000000;1167000000;1104000000;1051000000;1230000000;1285000000;1299000000;1597840000;2146050000;2791140000;3874520000;4458270000;6526500000;4917540000;6290456000;8350000000;
Bosnia and Herzegovina;BIH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;276000000;95000000;91000000;152000000;336000000;575000000;605000000;751000000;1069000000;1032000000;1005286000;1340000000;1792673539;2400000000;3323000000;4151965000;5021083000;3953920000;4803109000;5850622881;
Botswana;BWA;7560000;8821400;9322600;11295200;11821600;14334600;15080800;12906600;10487400;18373600;25625600;42422100;58291300;85307600;120815000;141781000;170398000;186355000;232656000;450545000;502000000;397000000;454000000;635000000;660000000;728000000;862000000;1587000000;1465000000;1857000000;1784000000;1849000000;1742000000;1780000000;1878000000;2142000000;2447000000;2842000000;2058000000;2644000000;2675000000;2510000000;2425000000;2810000000;3513092000;4425345613;4529027000;5174440000;4950877000;3455712000;4693238000;5790000000;
Brazil;BRA;1268000000;1403000000;1214000000;1406000000;1430000000;1596000000;1741000000;1654000000;1881000000;2311000000;2739000000;2904000000;3991000000;6199000000;7951000000;8670000000;10128000000;12120000000;12659000000;15244000000;20132000000;23293000000;20175000000;21899000000;27005000000;25639000000;22349000000;26224000000;33494000000;34383000000;31414000000;31620000000;35793000000;38555000000;43545000000;46506000000;47747000000;52994000000;51140000000;48011000000;55086000000;58223000000;60362000000;73084000000;96677800000;1.18529E+11;1.37808E+11;1.60649E+11;1.97943E+11;1.52995E+11;2.01915E+11;2.56039E+11;
Brunei Darussalam;BRN;83000000;77000000;65000000;60000000;61000000;65000000;74000000;81000000;92000000;88000000;95000000;212000000;176000000;347000000;980000000;1049000000;1333000000;1640000000;1845000000;2666000000;4581000000;4037000000;3808000000;3369000000;3204000000;2972000000;1797000000;1902000000;1708000000;1883000000;2213000000;2682000000;2401000000;2167000000;2210000000;2402000000;2481000000;2467000000;2058000000;2579000000;3903000000;3640000000;3702000000;4421000000;5057000000;6249000000;7636103000;7667972000;10319089000;7200223000;8907472225;12250000000;
Bulgaria;BGR;572000000;663000000;773000000;834000000;980000000;1176070000;1305130000;1458120000;1615380000;1794870000;2004270000;2182050000;2626850000;3301000000;3836000000;4691000000;5382000000;6329000000;7478000000;8869000000;10390000000;10700000000;11440000000;12140000000;12860000000;13310000000;14140000000;15850000000;17290000000;16220000000;5030000000;3760000000;3550000000;3580000000;4005000000;5355000000;4890000000;4940000000;4300000000;3979430729;4851733817;5117664755;5733031045;7543091448;9932382037;11739000000;15064200000;18518284156;22362043200;16318462600;20629615410;27975720000;
